Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,XU100.IS,^GSPC,^IXIC,XU100.IS,^GSPC,^IXIC,XU100.IS,^GSPC,^IXIC,XU100.IS,^GSPC,^IXIC,XU100.IS,^GSPC,^IXIC,XU100.IS,^GSPC,^IXIC
2005-01-03,25445.19921875,1202.0799560546875,2152.14990234375,25445.19921875,1202.0799560546875,2152.14990234375,25508.099609375,1217.800048828125,2191.60009765625,24918.19921875,1200.3199462890625,2148.719970703125,24971.69921875,1211.9200439453125,2184.75,227800700.0,1510800000.0,2193130000.0
2005-01-04,25042.0,1188.050048828125,2107.860107421875,25042.0,1188.050048828125,2107.860107421875,25602.19921875,1205.8399658203125,2159.639892578125,24992.80078125,1185.3900146484375,2100.56005859375,25445.19921875,1202.0799560546875,2158.31005859375,268834400.0,1721000000.0,2690460000.0
2005-01-05,24422.900390625,1183.739990234375,2091.239990234375,24422.900390625,1183.739990234375,2091.239990234375,25042.0,1192.72998046875,2116.75,24264.0,1183.719970703125,2091.239990234375,25042.0,1188.050048828125,2102.89990234375,206224900.0,1738900000.0,2375380000.0
2005-01-06,24561.900390625,1187.8900146484375,2090.0,24561.900390625,1187.8900146484375,2090.0,24588.400390625,1191.6300048828125,2103.89990234375,24237.69921875,1183.27001953125,2088.030029296875,24422.900390625,1183.739990234375,2098.510009765625,161817300.0,1569100000.0,2174220000.0
2005-01-07,25308.30078125,1186.18994140625,2088.610107421875,25308.30078125,1186.18994140625,2088.610107421875,25308.30078125,1192.199951171875,2103.389892578125,24481.099609375,1182.1600341796875,2076.68994140625,24561.900390625,1187.8900146484375,2099.949951171875,303729600.0,1477900000.0,2191910000.0
2005-01-08,25308.30078125,1186.18994140625,2088.610107421875,25308.30078125,1186.18994140625,2088.610107421875,25308.30078125,1192.199951171875,2103.389892578125,24481.099609375,1182.1600341796875,2076.68994140625,24561.900390625,1187.8900146484375,2099.949951171875,303729600.0,1477900000.0,2191910000.0
2005-01-09,25308.30078125,1186.18994140625,2088.610107421875,25308.30078125,1186.18994140625,2088.610107421875,25308.30078125,1192.199951171875,2103.389892578125,24481.099609375,1182.1600341796875,2076.68994140625,24561.900390625,1187.8900146484375,2099.949951171875,303729600.0,1477900000.0,2191910000.0
2005-01-10,25604.69921875,1190.25,2097.0400390625,25604.69921875,1190.25,2097.0400390625,25731.5,1194.780029296875,2111.429931640625,25142.0,1184.800048828125,2086.659912109375,25185.0,1186.18994140625,2087.6201171875,363568400.0,1490400000.0,2098270000.0
2005-01-11,26110.19921875,1182.989990234375,2079.6201171875,26110.19921875,1182.989990234375,2079.6201171875,26181.099609375,1190.25,2090.6201171875,25582.0,1180.4300537109375,2072.6201171875,25604.69921875,1190.25,2089.070068359375,405221100.0,1488800000.0,2210240000.0
2005-01-12,26271.30078125,1187.699951171875,2092.530029296875,26271.30078125,1187.699951171875,2092.530029296875,26575.0,1187.9200439453125,2093.43994140625,25804.099609375,1175.6400146484375,2066.7900390625,26110.19921875,1182.989990234375,2089.699951171875,394794800.0,1562100000.0,2257670000.0
2005-01-13,26493.0,1177.449951171875,2070.56005859375,26493.0,1177.449951171875,2070.56005859375,26565.599609375,1187.699951171875,2094.800048828125,26081.80078125,1175.81005859375,2067.93994140625,26271.30078125,1187.699951171875,2093.5400390625,377036800.0,1510300000.0,2111610000.0
2005-01-14,26362.69921875,1184.52001953125,2087.909912109375,26362.69921875,1184.52001953125,2087.909912109375,26749.80078125,1185.2099609375,2088.580078125,26240.099609375,1177.449951171875,2075.469970703125,26493.0,1177.449951171875,2079.469970703125,508805700.0,1335400000.0,2084860000.0
2005-01-15,26362.69921875,1184.52001953125,2087.909912109375,26362.69921875,1184.52001953125,2087.909912109375,26749.80078125,1185.2099609375,2088.580078125,26240.099609375,1177.449951171875,2075.469970703125,26493.0,1177.449951171875,2079.469970703125,508805700.0,1335400000.0,2084860000.0
2005-01-16,26362.69921875,1184.52001953125,2087.909912109375,26362.69921875,1184.52001953125,2087.909912109375,26749.80078125,1185.2099609375,2088.580078125,26240.099609375,1177.449951171875,2075.469970703125,26493.0,1177.449951171875,2079.469970703125,508805700.0,1335400000.0,2084860000.0
2005-01-17,26863.19921875,1184.52001953125,2087.909912109375,26863.19921875,1184.52001953125,2087.909912109375,26863.19921875,1185.2099609375,2088.580078125,26359.900390625,1177.449951171875,2075.469970703125,26362.69921875,1177.449951171875,2079.469970703125,300817900.0,1335400000.0,2084860000.0
2005-01-18,26813.099609375,1195.97998046875,2106.0400390625,26813.099609375,1195.97998046875,2106.0400390625,26905.900390625,1195.97998046875,2106.18994140625,26624.30078125,1180.0999755859375,2078.0400390625,26863.19921875,1184.52001953125,2081.860107421875,249121400.0,1596800000.0,1983840000.0
2005-01-19,26918.099609375,1184.6300048828125,2073.590087890625,26918.099609375,1184.6300048828125,2073.590087890625,26918.099609375,1195.97998046875,2105.840087890625,26443.19921875,1184.4100341796875,2072.199951171875,26813.099609375,1195.97998046875,2105.739990234375,141374100.0,1498700000.0,2217700000.0
2005-01-20,26918.099609375,1175.4100341796875,2045.8800048828125,26918.099609375,1175.4100341796875,2045.8800048828125,26918.099609375,1184.6300048828125,2065.590087890625,26443.19921875,1173.4200439453125,2045.8800048828125,26813.099609375,1184.6300048828125,2056.3798828125,141374100.0,1692000000.0,2231360000.0
